click_rate_click_user_cnt,click_rate_show_user_cnt,click_rate_click_rate,chat_start_rate_chat_user_cnt,chat_start_rate_click_user_cnt,chat_start_rate_chat_start_rate,avg_chat_rounds_total_chat_rounds,avg_chat_rounds_chat_user_cnt,avg_chat_rounds_avg_chat_rounds,sticky_score_total_return_users,sticky_score_sticky_score,avg_chat_rounds_user_total_chat_rounds,avg_chat_rounds_user_total_user_cnt,avg_chat_rounds_user_avg_chat_rounds_per_user,avg_retention_days_user_cnt,avg_retention_days_avg_retention_days,prompt_id,bot_type,event_date,avg_chat_rounds_user_error
3092.0,26078.0,0.1186,1794.0,3092.0,0.5802,38759.0,1794.0,21.6,3191,1855457,499292.0,19980.0,24.99,2478.0,1.66,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-17,
5846.0,25879.0,0.2259,2956.0,5846.0,0.5056,35122.0,2956.0,11.88,240,76399,60526.0,4923.0,12.29,0.0,,9bsYxjSrgtcKfvWz5HhGr,non_sora,2025-01-17,
2260.0,31379.0,0.072,1307.0,2260.0,0.5783,32704.0,1307.0,25.02,910,901349,201451.0,6205.0,32.47,758.0,1.65,y46gOIE5HlnmWrOx4-Jou,non_sora,2025-01-17,
3140.0,26613.0,0.118,1878.0,3140.0,0.5981,32676.0,1878.0,17.4,4722,1951127,537538.0,23112.0,23.26,4015.0,1.71,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-17,
1750.0,36932.0,0.0474,934.0,1750.0,0.5337,29966.0,934.0,32.08,1387,1436555,321670.0,7117.0,45.2,1127.0,1.99,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-17,
3.0,47.0,0.0638,2.0,3.0,0.6667,28.0,2.0,14.0,2,3221,400.0,9.0,44.44,1.0,7.0,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-18,
4799.0,42244.0,0.1136,2260.0,4799.0,0.4709,61707.0,2260.0,27.3,3664,2428735,634443.0,16563.0,38.3,3657.0,1.71,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-18,
4071.0,30815.0,0.1321,2356.0,4071.0,0.5787,53997.0,2356.0,22.92,587,380726,159974.0,6323.0,25.3,0.0,,eOX4o6yhz8wU0EoqBt7u7,non_sora,2025-01-18,
5915.0,50326.0,0.1175,3591.0,5915.0,0.6071,52977.0,3591.0,14.75,3860,1562274,481318.0,23421.0,20.55,2020.0,1.5,018q2V1FYLqIPzyCKTcDA,non_sora,2025-01-18,
4450.0,40546.0,0.1098,2632.0,4450.0,0.5915,52932.0,2632.0,20.11,3263,1863995,513820.0,20584.0,24.96,2527.0,1.7,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-18,
4127.0,36322.0,0.1136,2157.0,4127.0,0.5227,48095.0,2157.0,22.3,1449,792060,232306.0,7911.0,29.36,289.0,2.43,EP4DoyQTGq2iqtk4i20S9,non_sora,2025-01-18,
4792.0,41504.0,0.1155,2872.0,4792.0,0.5993,47977.0,2872.0,16.71,4668,1928126,542206.0,23629.0,22.95,4088.0,1.72,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-18,
2722.0,58247.0,0.0467,1446.0,2722.0,0.5312,46607.0,1446.0,32.23,1439,1498690,345122.0,7755.0,44.5,1054.0,2.08,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-18,
3624.0,40057.0,0.0905,2152.0,3624.0,0.5938,41294.0,2152.0,19.19,3048,1457122,423859.0,17669.0,23.99,2316.0,1.57,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-18,
2910.0,48062.0,0.0605,1455.0,2910.0,0.5,38118.0,1455.0,26.2,1946,1247078,274760.0,7721.0,35.59,1583.0,1.89,2-gkHLZr6h8NREpJ3BFyV,non_sora,2025-01-18,
5186.0,23452.0,0.2211,2833.0,5186.0,0.5463,35846.0,2833.0,12.65,543,172878,96372.0,7420.0,12.99,0.0,,9bsYxjSrgtcKfvWz5HhGr,non_sora,2025-01-18,
5711.0,26846.0,0.2127,3497.0,5711.0,0.6123,60317.0,3497.0,17.25,0,,60317.0,3497.0,17.25,0.0,,jQ1IMaAew6eB62YAPygPQ,non_sora,2025-01-19,
4015.0,32276.0,0.1244,2012.0,4015.0,0.5011,59760.0,2012.0,29.7,3767,2491318,644164.0,16857.0,38.21,3615.0,1.73,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-19,
3152.0,59791.0,0.0527,1692.0,3152.0,0.5368,54781.0,1692.0,32.38,1569,1616524,379095.0,8621.0,43.97,1085.0,2.07,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-19,
4054.0,33024.0,0.1228,2434.0,4054.0,0.6004,52391.0,2434.0,21.52,3400,1951536,535128.0,21173.0,25.27,2432.0,1.72,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-19,
4008.0,32257.0,0.1243,2042.0,4008.0,0.5095,44244.0,2042.0,21.67,1775,942111,272449.0,9354.0,29.13,286.0,2.46,EP4DoyQTGq2iqtk4i20S9,non_sora,2025-01-19,
3596.0,25325.0,0.142,2200.0,3596.0,0.6118,40324.0,2200.0,18.33,4748,1937268,548444.0,23805.0,23.04,4152.0,1.71,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-19,
3847.0,28854.0,0.1333,2354.0,3847.0,0.6119,38655.0,2354.0,16.42,4352,1740381,519973.0,25071.0,20.74,3098.0,1.5,018q2V1FYLqIPzyCKTcDA,non_sora,2025-01-19,
3183.0,32508.0,0.0979,1866.0,3183.0,0.5862,38457.0,1866.0,20.61,3164,1496424,433324.0,17939.0,24.16,2286.0,1.59,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-19,
1436.0,21653.0,0.0663,767.0,1436.0,0.5341,33497.0,767.0,43.67,1526,1792578,340843.0,5394.0,63.19,829.0,2.3,Pt8xu1p-TSynU9UQ34gZk,non_sora,2025-01-19,
3924.0,31756.0,0.1236,2369.0,3924.0,0.6037,30350.0,2369.0,12.81,3371,1182143,359310.0,22337.0,16.09,2459.0,1.67,-j-bavldqI3LkZjTCfgZv,non_sora,2025-01-19,
4560.0,39032.0,0.1168,2760.0,4560.0,0.6053,58358.0,2760.0,21.14,3577,2056639,559122.0,22118.0,25.28,2416.0,1.7,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-20,
3722.0,29179.0,0.1276,1861.0,3722.0,0.5,53884.0,1861.0,28.95,3851,2543419,648688.0,16888.0,38.41,3634.0,1.74,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-20,
2819.0,52636.0,0.0536,1575.0,2819.0,0.5587,52713.0,1575.0,33.47,1741,1749274,409992.0,9382.0,43.7,1087.0,2.08,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-20,
3795.0,31056.0,0.1222,1920.0,3795.0,0.5059,48345.0,1920.0,25.18,2104,1115067,316914.0,10667.0,29.71,285.0,2.45,EP4DoyQTGq2iqtk4i20S9,non_sora,2025-01-20,
3658.0,26433.0,0.1384,2223.0,3658.0,0.6077,42109.0,2223.0,18.94,4745,1934932,547550.0,23705.0,23.1,4172.0,1.74,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-20,
3032.0,40616.0,0.0747,1715.0,3032.0,0.5656,42131.0,1715.0,24.57,1208,981052,253030.0,8314.0,30.43,762.0,1.71,y46gOIE5HlnmWrOx4-Jou,non_sora,2025-01-20,
3156.0,32400.0,0.0974,1901.0,3156.0,0.6023,39252.0,1901.0,20.65,3264,1553565,444357.0,18340.0,24.23,2225.0,1.56,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-20,
2274.0,17672.0,0.1287,1289.0,2274.0,0.5668,32263.0,1289.0,25.03,968,696201,211960.0,7592.0,27.92,0.0,,eOX4o6yhz8wU0EoqBt7u7,non_sora,2025-01-20,
4040.0,31482.0,0.1283,2556.0,4040.0,0.6327,32112.0,2556.0,12.56,3443,1194476,359278.0,22531.0,15.95,2370.0,1.68,-j-bavldqI3LkZjTCfgZv,non_sora,2025-01-20,
3157.0,30971.0,0.1019,1544.0,3157.0,0.4891,31896.0,1544.0,20.66,1927,1461575,327629.0,12846.0,25.5,1529.0,1.63,_Qwn_vt6M2LTj620mMj1c,non_sora,2025-01-20,
3.0,43.0,0.0698,1.0,3.0,0.3333,37.0,1.0,37.0,2,1525,351.0,8.0,43.88,2.0,4.0,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-21,
4076.0,32208.0,0.1266,2515.0,4076.0,0.617,54528.0,2515.0,21.68,3785,2180923,583762.0,22959.0,25.43,2415.0,1.74,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-21,
3544.0,28403.0,0.1248,1808.0,3544.0,0.5102,53054.0,1808.0,29.34,3855,2555879,647688.0,16794.0,38.57,3546.0,1.77,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-21,
2392.0,41665.0,0.0574,1315.0,2392.0,0.5497,46017.0,1315.0,34.99,1898,1926656,433485.0,9832.0,44.09,1124.0,2.04,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-21,
3344.0,29165.0,0.1147,1641.0,3344.0,0.4907,39911.0,1641.0,24.32,2400,1276560,352992.0,11721.0,30.12,268.0,2.58,EP4DoyQTGq2iqtk4i20S9,non_sora,2025-01-21,
3174.0,21263.0,0.1493,1919.0,3174.0,0.6046,37186.0,1919.0,19.38,4655,1929839,536362.0,23044.0,23.28,4030.0,1.76,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-21,
2349.0,29538.0,0.0795,1302.0,2349.0,0.5543,35789.0,1302.0,27.49,1341,1088112,271421.0,8828.0,30.75,686.0,1.78,y46gOIE5HlnmWrOx4-Jou,non_sora,2025-01-21,
2695.0,25039.0,0.1076,1548.0,2695.0,0.5744,33666.0,1548.0,21.75,3375,1623116,455333.0,18502.0,24.61,2436.0,1.6,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-21,
2768.0,25168.0,0.11,1342.0,2768.0,0.4848,30570.0,1342.0,22.78,2045,1572905,343670.0,13320.0,25.8,1505.0,1.64,_Qwn_vt6M2LTj620mMj1c,non_sora,2025-01-21,
2611.0,36739.0,0.0711,1311.0,2611.0,0.5021,30203.0,1311.0,23.04,1593,1031483,279834.0,10573.0,26.47,1586.0,1.68,60LJPpsh-Y1xrEm8HLf11,non_sora,2025-01-21,
2425.0,42771.0,0.0567,1128.0,2425.0,0.4652,29997.0,1128.0,26.59,1195,831799,232005.0,7961.0,29.14,882.0,1.63,TK6prskkeMBwNzF5o1WLr,non_sora,2025-01-21,
3.0,63.0,0.0476,1.0,3.0,0.3333,40.0,1.0,40.0,2,1729,284.0,8.0,35.5,2.0,4.0,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-22,
3927.0,30131.0,0.1303,1977.0,3927.0,0.5034,55482.0,1977.0,28.06,3859,2648841,646515.0,16738.0,38.63,3432.0,1.8,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-22,
3996.0,23424.0,0.1706,2224.0,3996.0,0.5566,48245.0,2224.0,21.69,33,14700,49321.0,2289.0,21.55,0.0,,LLQVXSOBx0G0qXg_uP_XO,non_sora,2025-01-22,
3694.0,27967.0,0.1321,2196.0,3694.0,0.5945,46143.0,2196.0,21.01,3904,2337019,593523.0,23181.0,25.6,2631.0,1.72,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-22,
2269.0,41159.0,0.0551,1200.0,2269.0,0.5289,40056.0,1200.0,33.38,2030,2098203,453485.0,10258.0,44.21,1170.0,1.96,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-22,
3776.0,26615.0,0.1419,2288.0,3776.0,0.6059,38974.0,2288.0,17.03,4552,1959232,528807.0,22787.0,23.21,3922.0,1.77,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-22,
3397.0,29571.0,0.1149,1688.0,3397.0,0.4969,38130.0,1688.0,22.59,2692,1435031,387922.0,12845.0,30.2,279.0,2.73,EP4DoyQTGq2iqtk4i20S9,non_sora,2025-01-22,
3381.0,37054.0,0.0912,1536.0,3381.0,0.4543,33576.0,1536.0,21.86,1902,1292772,331648.0,12910.0,25.69,1510.0,1.62,3wQALO7A5GuBvZ9ytpHPA,non_sora,2025-01-22,
2244.0,31247.0,0.0718,1206.0,2244.0,0.5374,28728.0,1206.0,23.82,1657,1137774,285876.0,10591.0,26.99,1450.0,1.73,60LJPpsh-Y1xrEm8HLf11,non_sora,2025-01-22,
1751.0,20225.0,0.0866,1097.0,1751.0,0.6265,28187.0,1097.0,25.69,24,8220,28962.0,1139.0,25.43,0.0,,VyahCrrit4JBXkaIlyg30,non_sora,2025-01-22,
2514.0,22714.0,0.1107,1394.0,2514.0,0.5545,28025.0,1394.0,20.1,3332,1642367,448798.0,18073.0,24.83,2311.0,1.62,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-22,
2.0,45.0,0.0444,1.0,2.0,0.5,9.0,1.0,9.0,2,1729,285.0,8.0,35.63,2.0,4.0,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-23,
4438.0,31835.0,0.1394,2364.0,4438.0,0.5327,72119.0,2364.0,30.51,3951,2742083,679099.0,17423.0,38.98,3274.0,1.82,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-23,
4317.0,32046.0,0.1347,2677.0,4317.0,0.6201,60842.0,2677.0,22.73,4054,2480480,630043.0,24196.0,26.04,3050.0,1.71,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-23,
2400.0,46896.0,0.0512,1316.0,2400.0,0.5483,43468.0,1316.0,33.03,2127,2245074,479475.0,10814.0,44.34,1322.0,1.97,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-23,
3130.0,31389.0,0.0997,1811.0,3130.0,0.5786,39378.0,1811.0,21.74,3403,1712169,464400.0,18363.0,25.29,2393.0,1.61,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-23,
3650.0,38893.0,0.0938,1620.0,3650.0,0.4438,36771.0,1620.0,22.7,2000,1379450,350708.0,13551.0,25.88,1625.0,1.65,3wQALO7A5GuBvZ9ytpHPA,non_sora,2025-01-23,
2522.0,33251.0,0.0758,1311.0,2522.0,0.5198,32064.0,1311.0,24.46,1727,1235020,303923.0,11013.0,27.6,1641.0,1.68,60LJPpsh-Y1xrEm8HLf11,non_sora,2025-01-23,
2832.0,23376.0,0.1211,1377.0,2832.0,0.4862,32075.0,1377.0,23.29,2137,1693590,365891.0,13696.0,26.72,1971.0,1.68,_Qwn_vt6M2LTj620mMj1c,non_sora,2025-01-23,
1315.0,18187.0,0.0723,667.0,1315.0,0.5072,31771.0,667.0,47.63,1661,2053491,372097.0,5678.0,65.53,985.0,2.26,Pt8xu1p-TSynU9UQ34gZk,non_sora,2025-01-23,
2883.0,49565.0,0.0582,1324.0,2883.0,0.4592,31224.0,1324.0,23.58,1404,973133,263878.0,8989.0,29.36,962.0,1.67,TK6prskkeMBwNzF5o1WLr,non_sora,2025-01-23,
2380.0,24349.0,0.0977,1229.0,2380.0,0.5164,30790.0,1229.0,25.05,1113,671066,199796.0,6683.0,29.9,10.0,2.3,9FyoRSMzlm7n4zFMkDRaK,non_sora,2025-01-23,
2.0,48.0,0.0417,1.0,2.0,0.5,63.0,1.0,63.0,2,1855,348.0,8.0,43.5,2.0,4.0,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-24,
4722.0,33861.0,0.1395,2908.0,4722.0,0.6158,66814.0,2908.0,22.98,4273,2646358,668062.0,25389.0,26.31,3015.0,1.72,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-24,
3932.0,28497.0,0.138,2129.0,3932.0,0.5415,65799.0,2129.0,30.91,4119,2884956,697214.0,17659.0,39.48,2764.0,1.87,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-24,
3610.0,40152.0,0.0899,2259.0,3610.0,0.6258,55131.0,2259.0,24.41,156,72660,75096.0,3105.0,24.19,0.0,,ZhK-xk3QynrMLJ9DMo_Gw,non_sora,2025-01-24,
2451.0,46558.0,0.0526,1296.0,2451.0,0.5288,43573.0,1296.0,33.62,2250,2371554,506462.0,11412.0,44.38,1244.0,1.98,4CXDeRD-u9U72xC6c6WRz,non_sora,2025-01-24,
2948.0,28364.0,0.1039,1697.0,2948.0,0.5756,38181.0,1697.0,22.5,3488,1795424,481445.0,18767.0,25.65,2234.0,1.62,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-24,
3443.0,36077.0,0.0954,1517.0,3443.0,0.4406,36475.0,1517.0,24.04,2142,1492706,372492.0,14268.0,26.11,1507.0,1.67,3wQALO7A5GuBvZ9ytpHPA,non_sora,2025-01-24,
2466.0,23341.0,0.1057,1246.0,2466.0,0.5053,32438.0,1246.0,26.03,1313,799450,232207.0,7646.0,30.37,11.0,2.45,9FyoRSMzlm7n4zFMkDRaK,non_sora,2025-01-24,
