dt,experiment_id,variation,country,active_users,d1,retention_d1
2025-04-02,app_sensitive_image_exp,0,Libya,12,7,0.5833333333333334
2025-04-02,app_sensitive_image_exp,1,Northern Mariana Islands,5,4,0.8
2025-04-02,app_sensitive_image_exp,0,Bosnia and Herzegovina,3,3,1.0
2025-04-02,app_sensitive_image_exp,4,Ethiopia,1,1,1.0
2025-04-02,app_sensitive_image_exp,0,Martinique,1,1,1.0
2025-04-02,app_sensitive_image_exp,1,Guadeloupe,10,9,0.9
2025-04-02,app_sensitive_image_exp,0,Isle of Man,1,1,1.0
2025-04-02,app_sensitive_image_exp,4,Turkmenistan,1,0,0.0
2025-04-02,app_sensitive_image_exp,0,Afghanistan,1,1,1.0
2025-04-02,app_sensitive_image_exp,0,Gabon,1,1,1.0
2025-04-02,app_sensitive_image_exp,2,Brazil,3545,1911,0.5390691114245416
2025-04-02,app_sensitive_image_exp,0,Peru,538,439,0.8159851301115242
2025-04-02,app_sensitive_image_exp,1,New Zealand,198,147,0.7424242424242424
2025-04-02,app_sensitive_image_exp,1,Panama,510,415,0.8137254901960784
2025-04-02,app_sensitive_image_exp,4,Canada,78,42,0.5384615384615384
2025-04-02,app_sensitive_image_exp,4,Switzerland,8,6,0.75
2025-04-02,app_sensitive_image_exp,0,Nepal,40,29,0.725
2025-04-02,app_sensitive_image_exp,1,Jamaica,94,80,0.851063829787234
2025-04-02,app_sensitive_image_exp,4,El Salvador,30,16,0.5333333333333333
2025-04-02,app_sensitive_image_exp,0,Bangladesh,76,54,0.7105263157894737
2025-04-02,app_sensitive_image_exp,0,Lebanon,12,9,0.75
2025-04-02,app_sensitive_image_exp,3,Angola,4,3,0.75
2025-04-02,app_sensitive_image_exp,3,Pakistan,13,9,0.6923076923076923
2025-04-02,app_sensitive_image_exp,4,Bosnia and Herzegovina,1,1,1.0
2025-04-02,app_sensitive_image_exp,2,Madagascar,1,0,0.0
2025-04-02,app_sensitive_image_exp,0,Zambia,1,1,1.0
2025-04-02,app_sensitive_image_exp,3,Uzbekistan,1,0,0.0
2025-04-02,app_sensitive_image_exp,1,United States,34793,26052,0.7487713045727589
2025-04-02,app_sensitive_image_exp,2,South Africa,105,31,0.29523809523809524
2025-04-02,app_sensitive_image_exp,3,Chile,232,129,0.5560344827586207
2025-04-02,app_sensitive_image_exp,1,Italy,755,558,0.7390728476821192
2025-04-02,app_sensitive_image_exp,0,Venezuela,310,261,0.8419354838709677
2025-04-02,app_sensitive_image_exp,4,Tunisia,5,3,0.6
2025-04-02,app_sensitive_image_exp,1,Armenia,21,15,0.7142857142857143
2025-04-02,app_sensitive_image_exp,3,Lithuania,4,1,0.25
2025-04-02,app_sensitive_image_exp,3,United Kingdom,48,21,0.4375
2025-04-02,app_sensitive_image_exp,4,Germany,39,20,0.5128205128205128
2025-04-02,app_sensitive_image_exp,2,Algeria,10,4,0.4
2025-04-02,app_sensitive_image_exp,0,Belgium,11,11,1.0
2025-04-02,app_sensitive_image_exp,3,Switzerland,3,1,0.3333333333333333
2025-04-02,app_sensitive_image_exp,0,Estonia,2,2,1.0
2025-04-02,app_sensitive_image_exp,3,Finland,1,1,1.0
2025-04-02,app_sensitive_image_exp,1,Russia,5929,4577,0.771968291448811
2025-04-02,app_sensitive_image_exp,1,Belgium,312,219,0.7019230769230769
2025-04-02,app_sensitive_image_exp,1,Venezuela,1798,1478,0.8220244716351501
2025-04-02,app_sensitive_image_exp,1,Georgia,83,60,0.7228915662650602
2025-04-02,app_sensitive_image_exp,2,Dominican Republic,47,26,0.5531914893617021
2025-04-02,app_sensitive_image_exp,0,Honduras,73,57,0.7808219178082192
2025-04-02,app_sensitive_image_exp,1,Qatar,47,35,0.7446808510638298
2025-04-02,app_sensitive_image_exp,0,Jordan,12,6,0.5
2025-04-02,app_sensitive_image_exp,2,Myanmar,8,4,0.5
2025-04-02,app_sensitive_image_exp,2,Trinidad and Tobago,9,5,0.5555555555555556
2025-04-02,app_sensitive_image_exp,3,Mauritania,1,0,0.0
2025-04-02,app_sensitive_image_exp,3,Nepal,11,4,0.36363636363636365
